pair_age,init_market_cap,scams,funding_time,owner,source,status,verified,end_date,name,holders,tax,ticker,ape_score,spoofed,liquidity,lock,market_cap,previous,contract_age,sell,airdrops,result,ath,whales,red_flags,time_of_day,worth,snipers,buy,fresh,max_transmit,honeypot,safu_score,wallet,sticker,amount
38 mins,"$4,821 | 22X",3 out of 5,1 hrs ago,RENOUNCED (14),Coinbase,,0xf943390018eead116b2fbddd5e5ed8e0d492799e,22:55:37:412,MrsPepe2.0 Buy! 🐋🐋🐋,106 (52.8 ETH),2/2,,🟢 11%,0 own 0%,5.3,100% | BURNT,109280,,46 mins,(46) 36 - $15.7k,,-30.5823,,0 own 0%,,22:52:43,$655,17 own 20.5%,,5 own 4.6%,,🟢 (false) - 101/101,100% out of 55,"0xE8E...45 ($13,683)",🪙 #MrsPepe2.0,$549
9 mins,,31 out of 55,4 days ago,RENOUNCED (7),FixedFloat,Below 50K 🟩🟨🟥,0x52c21ae460f454890a4f9c07fd8395cc8ffa47a4,23:00:36:713,HarryPotterObamaSonic2.0Inu Buy! 🐋🐋🐋,44 (71.3 ETH),0/7.8,🪙 #Bitcoin2.0,🟢 29%,0 own 0%,2.5,99% | BURNT,12178,,16 mins,(16) 10 - $5k,1,-32.3739,,0 own 0%,,22:55:49,"$4,183",16 own 30.4%,(59) 55 - $7.7k,0 own 0%,,🟢 (false) - 43/43,80% out of 238,"0xb73...EC ($12,292)",,$183
22 mins,,0 out of 0 Unique,48 mins ago,RENOUNCED (17),Kucoin,Below 50K 🟩🟨🟥,0x5ae377b0edfb02df33fd06bbc43d0284bf934a18,23:01:01:688,The 2.0 Buy! 🐋,146 (66.3 ETH),1/1,🪙 #THE2.0,🟢 21%,0 own 0%,4.8,97% | 83 days | Unicrypt,45349,,35 mins,(110) 89 - $38.6k,1,-34.2910,,0 own 0%,,22:50:40,"$2,051",16 own 10.4%,(272) 218 - $46k,4 own 2.1%,,🟢 (false) - 127/127,82% out of 22,"0x3F1...6F ($4,145)",,$183
27 mins,"$11,573 | 4X",98 out of 210,49 mins ago,RENOUNCED (13),FixedFloat,Below 50K 🟩🟨🟥,0x941434da08035bb2559614b11dd4ad76af775931,23:03:13:047,MrsPepe 2.0 Buy! 🐋🐋,73 (37.4 ETH),0/0,🪙 #MRSPEPE 2.0,🟢 1%,0 own 0%,4.4,98% | 92 days | Unicrypt,47434,,45 mins,(119) 52 - $19.1k,1,-33.0137,,0 own 0%,,22:55:07,"$3,421",3 own 3%,(148) 118 - $24.9k,1 own 0.4%,,🟢 (false) - 65/65,75% out of 4,"0xC6A...94 ($7,924)",,$91
11 hrs 9 mins,"$5,553 | 62X",1.2k out of 1.4k,3 days ago,UNKNOWN (8),FixedFloat,,0xa8643451ae0401b645443682055be70dc05b6950,23:03:25:400,FTX 2.0 Buy! 🐋🐋🐋🐋🐋🐋,357 (905.4 ETH),0/0,,🟢 19%,1 own 0.7%,27.1,100% | BURNT,349045,,11 hrs 11 mins,(1397) 711 - $1.7M,,-34.5309,,3 own 4.5%,,22:24:56,$208,0 own 0%,,4 own 2.4%,,🟢 (false) - 326/326,100% out of 21,"hongtuchan.eth ($27,181)",🪙 #FTX2.0,"$1,830"
54 mins,"$30,298 | 0X",50 out of 77,1 hrs ago,RENOUNCED (13),Binance,Below 50K 🟩🟨🟥,0xc42a1ab94a15bd2a1de4b17b6ef4b10d1e9201a4,23:11:37:579,Ben 2.0 Buy! 🐋🐋,98 (95.1 ETH),1/1.1,🪙 #BEN2.0,🟢 25%,0 own 0%,3.2,99% | BURNT,19554,,1 hrs 7 mins,(184) 88 - $27.3k,,-34.0135,,1 own 0.9%,,22:46:54,$637,5 own 6.4%,(217) 179 - $31.3k,2 own 1.6%,,🟢 (false) - 70/70,100% out of 40,"black-engineer-society.eth ($8,986)",,$183
3 hrs 4 mins,"$47,923 | 15X",209 out of 474,3 hrs ago,RENOUNCED (20),Binance,,0x34ba042827996821cffeb06477d48a2ff9474483,23:14:03:863,SHIB2.0 Buy! 🐋,656 (283.0 ETH),2/2.8,,🟢 13%,1 own 0.2%,18.9,96% | BURNT,724604,,3 hrs 14 mins,(1959) 557 - $678.7k,4,100.9681,,2 own 1.8%,,22:43:51,"$35,295",8 own 1.2%,,8 own 0.2%,,🟢 (false) - 598/599,100% out of 10,"0x181...7d ($3,386)",🪙 #SHIB2.0,$457
36 mins,"$11,573 | 5X",98 out of 210,58 mins ago,RENOUNCED (13),FixedFloat,Below 100K 🟥🟥🟥,0x941434da08035bb2559614b11dd4ad76af775931,23:14:12:978,MrsPepe 2.0 Buy! 🐋🐋,126 (124.3 ETH),0/0,🪙 #MRSPEPE 2.0,🟢 8%,1 own 0.6%,5.1,98% | 92 days | Unicrypt,61738,,53 mins,(176) 82 - $45.3k,1,129.2346,,1 own 0.6%,,23:03:41,"$3,421",3 own 3%,(244) 189 - $52.8k,4 own 1.2%,,🟢 (false) - 105/105,100% out of 10,"0x86D...F3 ($5,513)",,$146
42 mins,"$4,821 | 17X",3 out of 5,1 hrs ago,RENOUNCED (14),Coinbase,Below 100K 🟥🟥🟥,0xf943390018eead116b2fbddd5e5ed8e0d492799e,23:15:25:911,MrsPepe2.0 Buy! 🐋🐋,136 (57.6 ETH),2/2,🪙 #MrsPepe2.0,🟢 17%,0 own 0%,4.7,99% | BURNT,85366,,49 mins,(74) 54 - $36k,,100.8029,,0 own 0%,,22:56:19,$655,16 own 19.5%,(199) 179 - $44.2k,4 own 4.1%,,🟢 (false) - 126/126,100% out of 14,"0x342...a3 ($5,415)",,$549
48 mins,"$11,573 | 1X",98 out of 210,1 hrs ago,RENOUNCED (13),FixedFloat,Below 50K 🟩🟨🟥,0x941434da08035bb2559614b11dd4ad76af775931,23:18:25:420,MrsPepe 2.0 Buy! 🐋,124 (128.0 ETH),0/0,🪙 #MRSPEPE 2.0,🟢 35%,1 own 0.6%,3.1,98% | 92 days | Unicrypt,22955,,1 hrs 5 mins,(255) 123 - $71.8k,1,-32.4615,,1 own 0.6%,,23:15:22,"$3,422",2 own 2%,(320) 219 - $75.7k,4 own 1.2%,,🟢 (false) - 96/96,100% out of 27,"0xc36...7B ($3,403)",,$183
22 hrs 18 mins,"$10,211 | 16X",18 out of 37,23 hrs ago,RENOUNCED (16),Binance,,0xd1e4c1c81733c7eff694f32109f07c9190e865dd,23:23:00:804,MONG 2.0 Buy! 🐋,226 (31.0 ETH),1/1,,🟢 18%,0 own 0%,9.7,98% | 29 days | Unicrypt,165632,,22 hrs 27 mins,(367) 232 - $101.5k,,-39.9566,,0 own 0%,,22:30:29,"$1,692",0 own 0%,,4 own 6.4%,,🟢 (false) - 189/189,96% out of 28,"0xeee...d0 ($4,309)",🪙 #MONG 2.0,$384
1 hrs 35 mins,"$2,108 | 13X",2 out of 4,2 hrs ago,RENOUNCED (19),FixedFloat,Below 50K 🟩🟨🟥,0x18703411495404b859c5070dd6d9d98e54ec1f7c,23:24:00:984,wojak2.0 Buy! 🐋,56 (48.6 ETH),2/2,🪙 #wojak2.0,🟢 24%,0 own 0%,3.9,99% | 91 days | Trust Swap,29499,(1) (https,1 hrs 40 mins,(99) 64 - $16.7k,,108.3847,$0,0 own 0%,,23:09:30,"$2,674",1 own 2.7%,(148) 111 - $21.9k,0 own 0%,,🟢 (false) - 46/46,79% out of 19,"0xEC5...d3 ($3,664)",,$317
3 hrs 34 mins,"$47,923 | 7X",209 out of 474,4 hrs ago,RENOUNCED (21),Binance,,0x34ba042827996821cffeb06477d48a2ff9474483,23:26:13:442,SHIB2.0 Buy! 🐋🐋,652 (294.1 ETH),2/2.7,,🟢 14%,1 own 0.2%,13.6,96% | BURNT,372735,,3 hrs 45 mins,(2139) 610 - $735.3k,4,-30.5959,,2 own 1.8%,,23:14:18,"$37,116",6 own 0.8%,,8 own 0.2%,,🟢 (false) - 611/612,91% out of 33,"0xc77...e6 ($6,920)",🪙 #SHIB2.0,$36
15 mins,"$12,178 | 2X",31 out of 55,4 days ago,RENOUNCED (7),FixedFloat,Below 50K 🟩🟨🟥,0x52c21ae460f454890a4f9c07fd8395cc8ffa47a4,23:28:12:923,HarryPotterObamaSonic2.0Inu Buy! 🐋🐋🐋,67 (74.8 ETH),0/0,🪙 #Bitcoin2.0,🟢 24%,0 own 0%,4.2,99% | BURNT,34768,,22 mins,(42) 28 - $32.9k,1,101.6040,,0 own 0%,,23:02:14,"$4,183",15 own 27.1%,(111) 91 - $38.7k,0 own 0%,,🟢 (false) - 63/63,96% out of 56,"0x092...a6 ($11,975)",,$457
1 hrs 4 mins,"$4,821 | 39X",3 out of 5,2 hrs ago,RENOUNCED (14),Coinbase,,0xf943390018eead116b2fbddd5e5ed8e0d492799e,23:28:12:955,MrsPepe2.0 Buy! 🐋,192 (56.5 ETH),2/2,,🟢 23%,1 own 0.2%,7.2,98% | BURNT,192107,,1 hrs 12 mins,(161) 105 - $78.6k,,-31.2427,,0 own 0%,,23:18:40,$655,13 own 15.3%,,6 own 3.9%,,🟢 (false) - 162/162,92% out of 72,"0x7ca...D0 ($3,005)",🪙 #MrsPepe2.0,$0
3 hrs 50 mins,"$47,923 | 10X",209 out of 475,4 hrs ago,RENOUNCED (21),Binance,,0x34ba042827996821cffeb06477d48a2ff9474483,23:37:27:180,SHIB2.0 Buy! 🐋,657 (254.7 ETH),2/2.3,,🟢 11%,1 own 0.2%,15.8,96% | BURNT,503912,,4 hrs 1 mins,(2205) 626 - $748.9k,4,-39.6224,,1 own 0.8%,,23:30:08,"$37,827",6 own 0.8%,,11 own 0.5%,,🟢 (false) - 617/617,100% out of 6,"khovu.eth ($4,172)",🪙 #SHIB2.0,$183
22 hrs 49 mins,"$8,709 | 67X",1 out of 1,23 hrs ago,RENOUNCED (19),Binance,,0x0e92c90867bf82ebbe66ae0352a4c6d876fb5398,23:38:37:532,Pepe 3.0 Buy! 🐋🐋,479 (92.9 ETH),1/1,,🟢 28%,9 own 9%,18.8,98% | 365 days | Unicrypt,589803,(1) (https,23 hrs 0 mins,(1608) 667 - $725.4k,4,-41.1264,$0,1 own 1.2%,,22:41:02,$266,0 own 0%,,10 own 7.6%,3% | 20.06 eth,🟢 (false) - 421/421,75% out of 24,"0x3cA...2A ($5,942)",🪙 #PEPE3.0,$915
1 hrs 19 mins,"$4,821 | 36X",3 out of 5,2 hrs ago,RENOUNCED (17),Coinbase,,0xf943390018eead116b2fbddd5e5ed8e0d492799e,23:39:25:904,MrsPepe2.0 Buy! 🐋🐋,207 (55.1 ETH),2/2,,🟢 13%,1 own 0.2%,7,98% | BURNT,178172,,1 hrs 26 mins,(199) 125 - $90.7k,3,-31.2019,,0 own 0%,,23:33:04,$642,13 own 15.1%,,7 own 4.8%,,🟢 (false) - 170/170,90% out of 31,"0x302...41 ($7,594)",🪙 #MrsPepe2.0,$366
59 mins,"$11,573 | 1X",98 out of 210,1 hrs ago,RENOUNCED (13),FixedFloat,Below 50K 🟩🟨🟥,0x941434da08035bb2559614b11dd4ad76af775931,23:46:26:269,MrsPepe 2.0 Buy! 🐋,102 (123.4 ETH),0/0,🪙 #MRSPEPE 2.0,🟢 11%,1 own 0.7%,2.7,98% | 92 days | Unicrypt,17043,,1 hrs 16 mins,(312) 152 - $84.9k,1,116.4622,,1 own 0.7%,,23:26:14,"$3,423",2 own 2%,(365) 234 - $88.1k,3 own 1.1%,,🟢 (false) - 81/81,100% out of 8,"0xCbD...C5 ($4,180)",,$457
14 mins,,21 out of 84,1 days ago,RENOUNCED (8),Binance,Below 50K 🟩🟨🟥,0xaa2c9ce5fb5d5acf4dae1c7011efb7866b0eb4ae,23:47:13:750,Impostor 2.0 Buy! 🐋,121 (33.9 ETH),0/5.6,🪙 #US2.0,🟢 23%,0 own 0%,3.4,98% | 92 days | Unicrypt,28293,,30 mins,(52) 25 - $9.7k,1,-31.1122,,0 own 0%,,23:32:58,"$5,091",54 own 32.3%,(157) 145 - $14k,28 own 8.8%,,🟢 (false) - 120/120,96% out of 27,"0x0C4...8C ($3,562)",,$366
1 hrs 28 mins,"$4,821 | 22X",3 out of 5,2 hrs ago,RENOUNCED (17),Coinbase,,0xf943390018eead116b2fbddd5e5ed8e0d492799e,23:49:50:316,MrsPepe2.0 Buy! 🐋,220 (52.0 ETH),2/2,,🟢 31%,1 own 0.2%,5.5,98% | BURNT,108394,,1 hrs 36 mins,(228) 136 - $101.1k,3,-60.1011,,0 own 0%,,23:42:31,$643,13 own 14.8%,,7 own 4.8%,,🟢 (false) - 179/179,87% out of 30,"0x2Dd...94 ($3,127)",🪙 #MrsPepe2.0,$916
23 hrs 48 mins,"$8,709 | 56X",1 out of 1,1 days ago,RENOUNCED (19),Binance,,0x0e92c90867bf82ebbe66ae0352a4c6d876fb5398,23:51:00:883,Pepe 3.0 Buy! 🐋🐋,515 (99.8 ETH),1/1,,🟢 29%,10 own 9.1%,17.3,98% | 365 days | Unicrypt,492534,(1) (https,23 hrs 58 mins,(1689) 696 - $796.8k,4,-40.3813,$0,1 own 1.2%,,23:39:36,$266,0 own 0%,,11 own 7.7%,3% | 15.26 eth,🟢 (false) - 446/446,91% out of 22,"$eth.eth ($5,950)",🪙 #PEPE3.0,"$2,198"
2 hrs 12 mins,"$2,108 | 8X",2 out of 4,2 hrs ago,RENOUNCED (19),FixedFloat,Below 50K 🟩🟨🟥,0x18703411495404b859c5070dd6d9d98e54ec1f7c,23:51:25:835,wojak2.0 Buy! 🐋🐋🐋,63 (47.2 ETH),2/1.9,🪙 #wojak2.0,🟢 33%,0 own 0%,3,99% | 91 days | Trust Swap,18299,(1) (https,2 hrs 17 mins,(116) 71 - $23k,,-30.4570,$0,0 own 0%,,23:46:38,"$2,962",1 own 2.7%,(180) 128 - $27.1k,0 own 0%,,🟢 (false) - 56/56,92% out of 76,"0xA27...50 ($12,475)",,$219
0 mins,,113 out of 198,17 hrs ago,0x21a...8b  (4),Kucoin,Below 50K 🟩🟨🟥,0xcf6e608e04ebd8a879ac97ba7876b2f89c7a6849,23:52:49:762,Cat Coin 2.0 Buy! 🐋,,0/7.6,🪙 #CATCOIN2.0,🟢🟢🟢 70%,,2.5,Unknown Lock,14529,,15 mins,(0) 0 - $0,1,160.6449,,,,23:39:12,"$1,639",,(0) 0 - $0,,2% | 0.17 eth,🟢 (false) -,100% out of 14,"0x099...02 ($3,053)",,$183
1 mins,,1.1k out of 1.4k,1 hrs ago,0xBfC...1E  (3),FixedFloat,Below 10K 🟩🟩🟩,0x60509027a54241d186802d2b96b0f689048129bc,23:54:49:350,Floki 2.0 Buy! 🐋🐋,30 (95.4 ETH),25/45,🪙 #FLOKI 2.0,🟢 16%,0 own 0%,2.1,Unknown Lock,9331,,5 mins,(0) 0 - $0,,106.4786,,0 own 0%,,23:27:14,"$1,208",5 own 7.3%,(29) 29 - $2.1k,0 own 0%,2% | 0.11 eth,🟢 (false) - 29/29,100% out of 4,"0x9A8...A6 ($5,809)",,$243
23 hrs 7 mins,"$7,615 | 11X",2 out of 4,1 days ago,RENOUNCED (19),Binance,Below 100K 🟥🟥🟥,0xf016f07c9b0787a18c81dc562f32ffe70003ca3b,23:55:01:282,Doge 2.0 Buy! 🐋🐋,156 (36.7 ETH),0/0,🪙 #DOGE2.0,🟢 35%,1 own 0.3%,6.6,98% | 28 days | Unicrypt,85492,,23 hrs 14 mins,(843) 506 - $291.4k,4,102.8741,,0 own 0%,,22:33:15,$134,0 own 0%,(1092) 626 - $301.7k,5 own 1.2%,,🟢 (false) - 135/135,99% out of 67,"0x42D...05 ($7,676)",,$915
12 mins,,0 out of 2,2 hrs ago,RENOUNCED (14),Coinbase,Below 50K 🟩🟨🟥,0xbd715a2c144ba27e89ab3757c39345be6d9a7230,23:56:25:330,SAITAMA2.0 Buy! 🐋🐋,35 (62.2 ETH),5/41.3,🪙 #SAITAMA 2.0,🟢 13%,0 own 0%,2.7,98% | 183 days | Unicrypt,31112,,20 mins,(6) 3 - $1.3k,3,-32.3886,,0 own 0%,,23:17:10,$212,1 own 0.3%,(41) 36 - $4.3k,0 own 0%,,🟢 (false) - 32/32,100% out of 3,"0x9A8...A6 ($6,154)",,$337
23 mins,"$5,377 | 7X",219 out of 482,1 days ago,RENOUNCED (13),Binance,Below 50K 🟩🟨🟥,0xf74795f7234a9d7c24ae21e8392cc32ad1a6dc9f,00:05:01:320,Clifford 2.0 Buy! 🐋🐋🐋🐋,99 (39.2 ETH),0/0,🪙 #Cliff2.0,🟢 28%,0 own 0%,4.2,98% | 94 days | Unicrypt,39542,,35 mins,(53) 25 - $19.2k,6,-34.5406,,0 own 0%,,23:58:45,"$6,092",9 own 15.5%,(138) 115 - $26.3k,2 own 2%,2% | 0.48 eth,🟢 (false) - 87/87,100% out of 31,"0x0bA...70 ($19,077)",,$219
4 hrs 1 mins,"$4,966 | 38X",15 out of 59,4 hrs ago,RENOUNCED (19),Mexc,,0xd0d19786ec5ba64f42a6a0fe51940038f9ce6028,00:05:25:379,Bitcoin 2.0 Buy! 🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳,411 (418.3 ETH),0/0,,🟢 29%,1 own 0.5%,13.5,83% | 92 days | Unicrypt,189123,,4 hrs 10 mins,(1198) 587 - $944.3k,,105.6755,,4 own 3%,,22:48:54,"$9,712",1 own 0.2%,,4 own 2%,,🟢 (false) - 384/386,100% out of 17,"tehoshi.eth ($61,620)",🪙 #BITCOIN2.0,"$1,830"
11 hrs 51 mins,"$5,553 | 49X",1.2k out of 1.4k,3 days ago,UNKNOWN (8),FixedFloat,,0xa8643451ae0401b645443682055be70dc05b6950,00:09:12:622,FTX 2.0 Buy! 🐋🐋🐋🐋🐋🐋,383 (906.2 ETH),0/0,,🟢 20%,1 own 0.7%,24.1,100% | BURNT,273657,,11 hrs 52 mins,(1509) 761 - $1.8M,,-35.2252,,3 own 4.5%,,23:06:15,$208,0 own 0%,,5 own 2.5%,,🟢 (false) - 342/342,100% out of 22,"hongtuchan.eth ($26,119)",🪙 #FTX2.0,$915
29 mins,"$5,377 | 4X",219 out of 482,1 days ago,RENOUNCED (13),Binance,Below 50K 🟩🟨🟥,0xf74795f7234a9d7c24ae21e8392cc32ad1a6dc9f,00:09:38:320,Clifford 2.0 Buy! 🐋,105 (32.1 ETH),0/0,🪙 #Cliff2.0,🟢 18%,0 own 0%,3.4,98% | 93 days | Unicrypt,25884,,41 mins,(77) 39 - $30.8k,6,132.4801,,0 own 0%,,00:05:25,"$6,092",7 own 11.8%,(174) 137 - $35.2k,3 own 3%,2% | 0.31 eth,🟢 (false) - 98/98,96% out of 46,"0xFdd...6d ($4,876)",,$185
1 hrs 44 mins,"$4,821 | 12X",3 out of 5,2 hrs ago,RENOUNCED (17),Coinbase,Below 100K 🟥🟥🟥,0xf943390018eead116b2fbddd5e5ed8e0d492799e,00:10:26:054,MrsPepe2.0 Buy! 🐋,192 (88.7 ETH),2/2,🪙 #MrsPepe2.0,🟢 16%,1 own 0.2%,4.1,98% | BURNT,59265,,1 hrs 52 mins,(297) 175 - $121.9k,3,-33.5731,,0 own 0%,,23:58:36,$643,12 own 13.6%,(490) 339 - $128.5k,8 own 4.9%,,🟢 (false) - 160/160,100% out of 15,"0x342...a3 ($4,619)",,$366
0 mins,,98 out of 136,1 days ago,0x765...E2  (16),0xacB...84,Below 100K 🟥🟥🟥,0xa9122a04e593c625759a4ad0eb4342f9f9c36867,00:10:37:096,USD 2.0 Buy! 🐋🐋🐋,,15/42.4,🪙 #USD2.0,🟢 21%,,7.4,Unknown Lock,69396,,39 mins,(0) 0 - $0,43,-35.9429,,,,00:10:31,"$3,395",,(0) 0 - $0,,,🟢 (false) -,86% out of 64,"hntr4.eth ($10,022)",,"$3,106"
2 mins,,4 out of 8,1 hrs ago,0x3B5...24  (6),0x0C3...Fb,Below 10K 🟩🟩🟩,0xedabd7ee017fbac322d65aea7497899a211a7124,00:12:13:860,Pepe 4.0 Buy! 🐋🐋🐋,11 (4.7 ETH),14/7.9,🪙 #PEPE4.0,🟢 20%,0 own 0%,0.8,Unknown Lock,1785,,42 mins,(0) 0 - $0,2,101.0591,,0 own 0%,,23:17:55,$78,5 own 4.2%,(7) 7 - $114.8,1 own 4%,1% | 0.01 eth,🟢 (false) - 7/7,51% out of 98,"0x2a8...93 ($11,809)",,$17
1 days 0 hrs,"$8,709 | 49X",1 out of 1,1 days ago,RENOUNCED (19),Binance,,0x0e92c90867bf82ebbe66ae0352a4c6d876fb5398,00:13:37:072,Pepe 3.0 Buy! 🐋🐋,524 (98.6 ETH),1/1.6,,🟢 16%,8 own 6.9%,16.1,98% | 365 days | Unicrypt,427827,(1) (https,1 days 0 hrs,(1724) 707 - $824.4k,4,-35.9757,$0,1 own 1.2%,,23:52:05,$266,0 own 0%,,12 own 7.7%,3% | 12.27 eth,🟢 (false) - 462/462,100% out of 15,"0x1D7...3B ($5,349)",🪙 #PEPE3.0,"$1,832"
5 hrs 27 mins,"$4,966 | 13X",17 out of 60,5 hrs ago,RENOUNCED (19),Mexc,Below 100K 🟥🟥🟥,0xd0d19786ec5ba64f42a6a0fe51940038f9ce6028,00:22:13:193,Bitcoin 2.0 Buy! 🐋🐋,372 (399.7 ETH),0/0,🪙 #BITCOIN2.0,🟢🟢 46%,1 own 0.5%,8.1,83% | 92 days | Unicrypt,66890,,5 hrs 37 mins,(1345) 649 - $1M,,-34.1239,,4 own 3%,,00:15:08,"$10,114",1 own 0.2%,(1858) 989 - $1M,4 own 2%,,🟢 (false) - 359/361,100% out of 3,"0xc32...9b ($9,171)",,$916
1 mins,"$69,396 | 1X",98 out of 136,1 days ago,0x765...E2  (16),0xacB...84,,0xa9122a04e593c625759a4ad0eb4342f9f9c36867,00:29:00:820,USD 2.0 Buy! 🐋,102 (60.6 ETH),15/45.8,,🟢 8%,1 own 1.7%,9.8,Unknown Lock,122158,,40 mins,(1) 1 - $2.5k,43,-32.9514,,0 own 0%,,00:11:55,"$5,845",32 own 23.5%,,5 own 5%,2% | 1.41 eth,🟢 (false) - 61/61,100% out of 5,"0x495...96 ($3,259)",🪙 #USD2.0,$183
15 hrs 51 mins,"$15,375 | 3X",99 out of 211,21 hrs ago,RENOUNCED (25),FixedFloat,Below 100K 🟥🟥🟥,0x381a8e74781715d54ba4343be806084ec785f4e4,00:31:01:326,Baby PEPE 2.0 Buy! 🐋🐋,129 (22.5 ETH),0/0,🪙 #BPEPE 2.0,🟢 18%,0 own 0%,3.8,98% | 365 days | Unicrypt,52256,,15 hrs 54 mins,(393) 241 - $162.4k,3,-35.9344,,0 own 0%,,00:29:44,"$2,169",2 own 1.6%,(539) 332 - $168.3k,4 own 1.7%,,🟢 (false) - 98/98,75% out of 4,"0x56a...69 ($7,359)",,$916
2 hrs 30 mins,"$8,390 | 53X",8 out of 19,3 hrs ago,RENOUNCED (27),Binance,,0xd882c582beaf161086b8a54533fb9197e4eac59c,00:31:13:821,Half Pepe Buy! 🐋🐋,282 (78.6 ETH),2/2,,🟢 33%,5 own 3.3%,13.8,97% | 92 days | Unicrypt,445935,,2 hrs 36 mins,(318) 208 - $207.4k,7,-31.5523,,0 own 0%,,23:14:06,$526,1 own 0.5%,,4 own 1.4%,,🟢 (false) - 226/227,92% out of 13,"0x2E9...88 ($8,034)",🪙 #PEPE0.5,$915
3 mins,,24 out of 85,40 mins ago,0xC3F...49  (8),Mexc,Below 50K 🟩🟨🟥,0x0d66fa28613034bb921c684a00e067ae24b95202,00:32:36:828,FLOKI 2.0 Buy! 🐋,78 (26.2 ETH),0/5.9,🪙 #FLOKI2.0,🟢 33%,0 own 0%,3.3,98% | 30 days | Unicrypt,25172,,16 mins,(30) 15 - $6.7k,1,118.7153,,0 own 0%,,00:13:49,"$3,921",36 own 28.8%,(96) 91 - $10.8k,1 own 1.4%,,🟢 (false) - 72/72,96% out of 122,"0x486...36 ($4,368)",,$366
374 days 19 hrs,"$29,976 | 4X",13 out of 20,374 days ago,RENOUNCED (113),Binance,,0x67992e63434f23d4c5c32f926f6b96451b4c2509,00:34:37:990,DOGE2.0 Buy! 🐋🐋🐋🐋,242 (469.3 ETH),0/0,,🟢🟢 50%,0 own 0%,21.5,99% | 85 days | Unicrypt,146335,(1) (https,374 days 19 hrs,(88) 76 - $47.3k,1,109.7949,$0,2 own 2.3%,,22:35:10,$13,0 own 0%,,8 own 1.9%,3% | 2.72 eth,🟢 (false) - 76/76,93% out of 118,"0x266...Af ($18,055)",🪙 #DOGE2.0,$549
6 days 4 hrs,"$9,740 | 13X",1.1k out of 1.4k,6 days ago,RENOUNCED (26),Kucoin,,0xb08fc26e97e95a310a43c086ab76449f082f6d92,00:37:37:196,Twitter Girl Buy! 🐋🐋,152 (91.7 ETH),3/3,,🟢 11%,0 own 0%,6.5,99% | 23 days | Trust Swap,134496,,6 days 5 hrs,(121) 85 - $60.6k,5,-39.6615,,1 own 0.6%,,22:28:07,$9,1 own 0.4%,,7 own 38.6%,,🟢 (false) - 128/129,93% out of 28,"0xdE9...0F ($5,134)",🪙 #TITTER,$91
20 mins,"$69,396 | 2X",99 out of 137,1 days ago,0x765...E2  (21),0xacB...84,,0xa9122a04e593c625759a4ad0eb4342f9f9c36867,00:39:01:137,USD 2.0 Buy! 🐋,205 (74.5 ETH),3/3.9,,🟢 22%,0 own 0%,12,98% | 92 days | Unicrypt,179787,,59 mins,(78) 44 - $29.7k,43,-34.8856,,0 own 0%,,00:30:32,"$14,677",20 own 12.7%,,9 own 5.5%,2% | 2.36 eth,🟢 (false) - 153/153,75% out of 12,"1505.eth ($3,029)",🪙 #USD2.0,$91
36 mins,,0 out of 0 Unique,1 days ago,RENOUNCED (20),FixedFloat,Below 50K 🟩🟨🟥,0xb7991aa53465a09ad2317696b715b2d8ab1ceef4,00:41:14:287,gm 2.0 Buy! 🐋🐋🐋,71 (166.2 ETH),1/1,🪙 #gm2.0,🟢 33%,0 own 0%,3.6,98% | 29 days | Unicrypt,25192,,57 mins,(56) 39 - $6.7k,5,-30.7442,,2 own 2.8%,,00:38:58,$281,3 own 4.1%,(110) 96 - $11.4k,4 own 7%,,🟢 (false) - 56/56,92% out of 77,"0xA27...50 ($12,015)",,$219
2 hrs 15 mins,"$4,821 | 4X",3 out of 5,3 hrs ago,RENOUNCED (18),Coinbase,Below 50K 🟩🟨🟥,0xf943390018eead116b2fbddd5e5ed8e0d492799e,00:42:37:089,MrsPepe2.0 Buy! 🐋,171 (75.2 ETH),2/1.9,🪙 #MrsPepe2.0,🟢 15%,1 own 0.2%,2.5,98% | BURNT,22103,,2 hrs 23 mins,(369) 211 - $138.9k,3,100.9849,,0 own 0%,,00:29:26,$642,5 own 5.1%,(558) 366 - $143.3k,2 own 0.3%,,🟢 (false) - 154/154,100% out of 15,"0x342...a3 ($4,142)",,$91
1 days 0 hrs,"$8,709 | 42X",1 out of 1,1 days ago,RENOUNCED (19),Binance,,0x0e92c90867bf82ebbe66ae0352a4c6d876fb5398,00:44:36:949,Pepe 3.0 Buy! 🐋🐋🐋,522 (97.3 ETH),1/1.4,,🟢 33%,11 own 9.2%,15.1,98% | 365 days | Unicrypt,371261,(1) (https,1 days 0 hrs,(1767) 725 - $857.8k,4,-40.7965,$0,1 own 1.2%,,00:15:53,$266,0 own 0%,,13 own 7.8%,3% | 10.26 eth,🟢 (false) - 461/461,91% out of 22,"$eth.eth ($14,522)",🪙 #PEPE3.0,$770
