,pair_age,init_market_cap,scams,funding_time,ape_score,liquidity,market_cap,contract_age,sell,airdrops,time_of_day,worth,buy,max_transmit,honeypot,safu_score,wallet,amount,buy_tax,sell_tax,owner_quant,owner_type_INDIVIDUAL,owner_type_RENOUNCED,owner_type_UNKNOWN,source_01121994.eth,source_Binance,source_Bitget,source_Bybit,source_Coinbase,source_FixedFloat,source_Gate.io,source_INDIVIDUAL,source_Kraken,source_Kucoin,source_Mexc,source_SideShift,source_cemedeul.eth,source_tsunamitreasury.eth,holders_qty,holders_amt,spoofed_qty,spoofed_pct,snipers_qty,snipers_pct,fresh_qty,fresh_pct,whales_qty,whales_pct,safu_score_qty,status_100K,status_10K,status_50K,status_Above,printed
34,17,240091.0,0.6666666666666666,1,24,6.4,149378,17,66.0,4.0,69113.0,13910,,,42,100,5245,309,0,0,19,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,73.2,0.0,0.0,3.0,0.9,2.0,18.3,0.0,0.0,14,0.0,0.0,0.0,1.0,False
35,30,11566.0,0.3333333333333333,3,17,6.0,36702,56,179.0,15.0,67276.0,12788,220.0,0.42,88,98,3858,188,5,7.7,35,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,50.4,1.0,0.1,4.0,2.7,2.0,0.6,0.0,0.0,87,0.0,0.0,1.0,0.0,True
36,7201,9740.0,0.7857142857142857,7200,22,11.8,467692,7202,171.0,3.0,70317.0,0,,,92,92,11380,1130,3,3,18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,123.0,95.9,0.0,0.0,1.0,0.4,6.0,31.4,0.0,0.0,38,0.0,0.0,0.0,1.0,False
37,23,,0.0,1,22,0.6,1554,26,0.0,0.0,71392.0,856,23.0,0.01,23,63,4553,54,0,0,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,21.4,0.0,0.0,1.0,0.8,4.0,3.6,0.0,0.0,56,0.0,1.0,0.0,0.0,True
38,0,,0.6923076923076923,5760,37,2.2,9320,5765,0.0,1.0,72130.0,369,30.0,0.1,26,75,6221,188,20,35.7,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,64.3,0.0,0.0,23.0,28.4,1.0,0.8,1.0,1.6,393,0.0,1.0,0.0,0.0,True
39,44,1554.0,0.0,1,34,1.0,3996,47,3.0,0.0,72641.0,855,63.0,0.02,55,86,55530,31,0,0,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,123.8,0.0,0.0,1.0,0.8,5.0,4.5,1.0,0.9,176,0.0,1.0,0.0,0.0,False
40,50,3298.0,0.3,1,17,3.9,28425,41,104.0,0.0,65721.0,524,171.0,0.33,90,100,71627,188,2,2.9,11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,25.5,0.0,0.0,2.0,3.0,1.0,0.8,0.0,0.0,5,0.0,0.0,1.0,0.0,False
41,30,,0.35714285714285715,11,23,1.0,3088,41,20.0,2.0,72861.0,185,25.0,0.05,10,95,3202,86,10,29.9,15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.5,1.0,0.0,0.0,0.0,7.0,14.9,0.0,0.0,40,0.0,1.0,0.0,0.0,False
42,6,2927.0,0.0,2,10,3.8,38633,39,232.0,1.0,73617.0,1444,442.0,,148,89,3197,93,1,1,21,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,177.0,99.1,1.0,0.4,2.0,0.7,8.0,5.0,2.0,1.4,94,0.0,0.0,1.0,0.0,True
43,55,137646.0,0.6798679867986799,2880,29,20.4,183599,16,365.0,1.0,68930.0,27165,,2.75,217,75,15423,1887,2,2,31,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0,360.5,1.0,0.3,20.0,3.4,2.0,1.0,4.0,3.8,4,0.0,0.0,0.0,1.0,False
44,31,2927.0,0.0,3,9,6.2,101314,5,279.0,1.0,75110.0,1442,,,178,100,3349,553,1,4,21,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,226.0,101.3,1.0,0.4,2.0,0.7,8.0,5.1,2.0,1.4,3,0.0,0.0,0.0,1.0,True
45,37,132291.0,0.0,3,14,8.9,208562,10,306.0,1.0,75456.0,1443,,,189,100,6075,372,1,1,21,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,241.0,104.4,1.0,0.4,2.0,0.7,8.0,4.7,2.0,1.4,2,0.0,0.0,0.0,1.0,False
46,17,3088.0,0.35714285714285715,12,23,1.4,5593,29,33.0,3.0,75653.0,106,48.0,,20,72,13744,64,0,0,26,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,6.2,1.0,0.0,0.0,0.0,6.0,12.8,0.0,0.0,87,0.0,1.0,0.0,0.0,False
