mcap,liquidity,buy,sell,scams,worth,contract_age,pair_age,funding_time,airdrops,amount,wallet,ape_score,safu_score,buy_tax,sell_tax,owner_quant,owner_type_INDIVIDUAL,owner_type_RENOUNCED,owner_type_UNKNOWN,source_01121994.eth,source_Binance,source_Bitget,source_Bybit,source_Coinbase,source_FixedFloat,source_Gate.io,source_INDIVIDUAL,source_Kraken,source_Kucoin,source_Mexc,source_SideShift,source_cemedeul.eth,source_tsunamitreasury.eth,holds_qty,holds_amt,spoofed_qty,spoofed_pct,snipers_qty,snipers_pct,fresh_qty,fresh_pct,whales_qty,whales_pct,safu_score_qty,printed
17088,2.7,90.0,0.0,0.48717948717948717,239.0,19,1,20,1.0,102.0,11610,29,80,0,3.7,4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,123.2,0.0,0.0,24.0,11.2,0.0,0.0,1.0,0.6,243,False
613459,13.5,,187.0,0.7857142857142857,0.0,7202,7202,7200,3.0,1882.0,4093,15,88,3,3,18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,138.0,87.1,0.0,0.0,1.0,0.4,7.0,27.7,0.0,0.0,17,True
914554,19.8,,648.0,0.0,1445.0,56,24,3,1.0,933.0,7052,24,96,1,1,21,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,437.0,110.4,1.0,0.4,2.0,0.7,6.0,3.1,2.0,1.4,23,True
307328,9.7,,246.0,0.7857142857142857,0.0,7204,7204,7200,3.0,1866.0,5617,19,100,3,3,18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,165.0,91.2,0.0,0.0,1.0,0.4,8.0,38.3,0.0,0.0,5,False
25432,3.3,106.0,0.0,0.48717948717948717,239.0,20,1,21,1.0,37.0,6634,14,90,0,3.3,4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,115.4,0.0,0.0,24.0,11.2,0.0,0.0,1.0,0.6,31,False
74824,13.2,762.0,511.0,0.6798679867986799,20604.0,54,34,2880,2.0,169.0,18472,8,100,2,2,36,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,304.6,1.0,0.3,19.0,3.1,2.0,1.0,3.0,2.6,9,False
39662,4.2,208.0,78.0,0.48717948717948717,4195.0,30,11,31,1.0,149.0,6156,42,93,0,4.7,6,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,117.4,0.0,0.0,14.0,6.5,1.0,0.1,1.0,0.6,14,False
44024,11.6,14.0,3.0,0.65,13.0,537138,537138,537120,1.0,373.0,5694,37,75,0,0,113,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,440.7,0.0,0.0,0.0,0.0,6.0,3.7,3.0,2.7,393,False
61091,5.2,257.0,114.0,0.48717948717948717,9078.0,33,14,34,1.0,0.0,5548,39,100,0,3.8,8,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,233.4,0.0,0.0,14.0,6.3,1.0,0.1,3.0,2.6,37,False
90619,6.3,283.0,134.0,0.48717948717948717,9110.0,34,16,35,1.0,373.0,6465,33,85,0,0,9,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,247.8,0.0,0.0,14.0,6.3,2.0,0.9,3.0,2.6,13,False
