,mcap,liquidity,scams,worth,contract_age,pair_age,wallet,safu_score,buy_tax,owner_type_UNKNOWN,source_Coinbase,source_Kraken,source_SideShift,holds_qty,holds_amt,spoofed_qty,snipers_qty,whales_pct,printed
92,8709,2.1,0.0,471.0,33,22,3195,47,0.7,0.0,0.0,0.0,0.0,37.0,21.9,8.0,6.0,0.0,True
93,13391,2.4,0.2816901408450704,2824.0,18,4,3441,97,0.0,0.0,0.0,0.0,0.0,53.0,25.7,0.0,22.0,0.0,False
94,18598,4.8,0.0,3092.0,9,4,8164,33,10.0,0.0,0.0,0.0,0.0,23.0,64.5,0.0,9.0,0.8,True
95,73852,5.8,0.2857142857142857,5857.0,22,3,7325,100,0.0,0.0,0.0,0.0,0.0,173.0,114.1,1.0,2.0,0.7,False
96,10211,2.3,0.4864864864864865,3375.0,30,21,4202,100,25.0,0.0,0.0,0.0,0.0,51.0,22.5,0.0,7.0,0.0,False
97,28133,3.4,0.2816901408450704,9322.0,56,35,6342,97,0.0,0.0,0.0,0.0,0.0,130.0,51.1,0.0,32.0,0.0,True
98,29051,3.9,0.4848484848484848,0.0,31,13,5731,93,0.0,0.0,0.0,0.0,0.0,263.0,267.7,1.0,0.0,2.8,True
99,13772,2.7,0.4848484848484848,0.0,3,44,4637,78,0.0,0.0,0.0,0.0,0.0,257.0,353.7,1.0,0.0,3.2,False
100,69833,5.4,0.2816901408450704,8862.0,11,49,20881,94,0.0,0.0,0.0,0.0,0.0,154.0,89.3,0.0,24.0,0.0,False
101,85810,6.1,0.2816901408450704,8864.0,29,7,5831,90,0.0,0.0,0.0,0.0,0.0,179.0,73.6,0.0,14.0,0.0,False
102,17725,2.2,0.3333333333333333,154.0,50,18,4079,100,1.0,0.0,1.0,0.0,0.0,96.0,56.9,0.0,6.0,0.0,True
103,20194,3.0,0.0,3683.0,2,54,3622,100,0.0,0.0,0.0,0.0,0.0,112.0,40.8,0.0,4.0,0.0,False
104,15602,2.8,0.0,469.0,36,25,3222,48,0.7,0.0,0.0,0.0,0.0,51.0,22.1,8.0,6.0,0.0,True
105,31812,3.8,0.0,3683.0,4,56,7701,100,0.0,0.0,0.0,0.0,0.0,119.0,42.1,0.0,4.0,0.0,False
106,72608,5.9,0.2816901408450704,6397.0,35,17,5505,94,0.0,0.0,0.0,0.0,0.0,253.0,138.7,1.0,2.0,0.7,True
107,2386,0.7,0.4824120603015075,2248.0,28,24,20601,100,0.0,0.0,0.0,0.0,0.0,36.0,3.7,0.0,0.0,0.0,False
108,4951,1.4,0.0,346.0,13,1,11589,59,0.0,0.0,0.0,0.0,0.0,12.0,1.7,0.0,5.0,0.0,True
109,9378,2.0,0.48,916.0,31,0,4303,96,0.0,0.0,0.0,0.0,0.0,25.0,11.5,0.0,24.0,0.0,False
110,14422,4.4,0.7857142857142857,1292.0,406081,406081,16635,92,4.0,0.0,0.0,0.0,0.0,170.0,248.4,1.0,0.0,1.1,False
111,14325,2.7,0.4848484848484848,0.0,54,36,4610,94,0.0,0.0,0.0,0.0,0.0,251.0,356.1,1.0,0.0,3.2,False
112,41915,4.7,0.4864864864864865,1180.0,47,38,8750,100,1.0,0.0,0.0,0.0,0.0,89.0,17.0,0.0,5.0,0.0,True
113,73659,5.6,0.2816901408450704,8865.0,43,21,8298,100,0.0,0.0,0.0,0.0,0.0,202.0,74.4,0.0,9.0,0.0,False
114,14597,2.7,0.6944444444444444,2336.0,48,40,3093,57,0.0,0.0,0.0,0.0,0.0,49.0,22.7,0.0,1.0,0.0,False
115,40576,4.2,0.4776119402985074,668.0,56,0,3340,70,0.0,0.0,0.0,0.0,0.0,54.0,36.5,2.0,53.0,0.0,True
116,5037,1.7,0.0,659.0,24,8,3129,47,5.9,0.0,0.0,0.0,0.0,18.0,1.3,0.0,3.0,0.0,True
117,2021,1.0,0.0,721.0,18,2,13235,80,20.0,0.0,0.0,0.0,0.0,4.0,0.6,0.0,1.0,0.0,True
118,17031,2.8,0.4776119402985074,7705.0,35,38,3170,92,0.0,0.0,0.0,0.0,0.0,106.0,30.2,0.0,17.0,0.0,False
119,24011,3.3,0.5,3654.0,25,18,3665,100,0.0,0.0,0.0,0.0,0.0,125.0,33.8,0.0,0.0,0.0,False
120,5037,1.7,0.0,659.0,24,8,3129,47,5.9,0.0,0.0,0.0,0.0,18.0,1.3,0.0,3.0,0.0,True
121,37987,4.6,0.0,652.0,2,45,3502,75,6.0,0.0,0.0,0.0,0.0,66.0,39.0,0.0,3.0,0.0,False
122,9077,1.6,0.2857142857142857,223.0,33,29,3731,91,0.0,1.0,0.0,0.0,0.0,10.0,8.0,0.0,1.0,0.0,False
123,21957,3.3,0.625,2466.0,4,40,14249,95,0.0,0.0,0.0,0.0,0.0,90.0,58.4,1.0,18.0,0.0,True
124,48714,10.7,0.6840390879478827,20806.0,43,23,18816,90,2.0,0.0,0.0,0.0,0.0,197.0,323.0,1.0,19.0,2.6,False
125,24251,3.7,0.0,48.0,20,4,4396,97,6.0,0.0,0.0,0.0,0.0,75.0,72.4,0.0,3.0,0.0,True
126,95241,6.9,0.0,466.0,15,4,3072,100,1.0,0.0,0.0,0.0,0.0,167.0,118.2,8.0,5.0,1.9,False
127,87096,11.9,0.8571428571428571,990.0,4,3,48620,100,0.0,1.0,0.0,0.0,0.0,48.0,27.2,1.0,18.0,0.0,False
128,2389,1.0,0.5698924731182796,3139.0,4,0,3995,94,15.0,0.0,0.0,0.0,0.0,2.0,9.9,0.0,1.0,0.0,False
129,36977,4.1,0.2816901408450704,8858.0,54,33,13678,95,0.0,0.0,0.0,0.0,0.0,171.0,131.8,1.0,3.0,0.9,False
130,48417,8.9,0.8571428571428571,990.0,7,6,15882,75,0.0,1.0,0.0,0.0,0.0,50.0,40.4,1.0,18.0,0.0,True
131,58706,9.8,0.8571428571428571,983.0,10,9,7795,100,0.0,1.0,0.0,0.0,0.0,66.0,14.2,0.0,17.0,0.0,True
132,10702,2.4,0.4776119402985074,0.0,26,8,3063,100,0.0,0.0,0.0,0.0,0.0,247.0,349.2,1.0,0.0,3.2,False
133,16458,3.9,0.55,6388.0,32,9,3314,40,0.0,0.0,0.0,0.0,0.0,38.0,31.3,0.0,20.0,0.0,False
134,19633,3.2,0.0,546.0,24,7,3726,100,1.0,0.0,0.0,0.0,0.0,49.0,41.0,0.0,1.0,0.0,True
135,17869,4.5,0.5436046511627907,3156.0,40,26,4151,100,0.0,0.0,0.0,0.0,0.0,10.0,6.7,0.0,0.0,0.0,False
136,7564,1.9,0.0,1193.0,75,36,3073,100,1.0,0.0,0.0,0.0,0.0,47.0,32.6,0.0,0.0,0.0,False
137,16307,6.4,0.2142857142857142,20.0,21603,15858,9812,90,0.0,0.0,0.0,0.0,0.0,72.0,110.2,1.0,0.0,1.3,True
138,5085,2.3,0.7857142857142857,1630.0,16,0,14621,58,0.0,0.0,0.0,0.0,0.0,9.0,3.3,0.0,2.0,0.0,True
139,14493,2.6,0.2777777777777778,8813.0,29,8,13884,95,0.0,0.0,0.0,0.0,0.0,137.0,208.0,1.0,2.0,1.3,False
140,13281,3.2,0.55,10244.0,51,45,18980,90,0.0,0.0,0.0,0.0,0.0,101.0,154.0,1.0,11.0,0.7,False
141,19797,4.6,0.7857142857142857,1882.0,21,6,3172,96,0.0,0.0,0.0,0.0,0.0,40.0,30.2,0.0,1.0,0.0,False
142,46069,7.1,0.7857142857142857,2317.0,30,14,8868,88,0.0,0.0,0.0,0.0,0.0,60.0,53.7,0.0,0.0,0.0,False
143,85629,9.7,0.7857142857142857,2317.0,33,17,49457,100,0.0,0.0,0.0,0.0,0.0,72.0,107.4,0.0,1.0,3.5,False
144,7230,1.8,0.273972602739726,2489.0,53,31,3648,100,0.0,0.0,0.0,0.0,0.0,35.0,11.7,0.0,0.0,0.0,True
145,3973,1.3,0.273972602739726,2490.0,2,39,3664,100,0.0,0.0,0.0,0.0,0.0,27.0,8.4,0.0,0.0,0.0,True
146,5737,1.8,0.8218085106382979,867.0,2,0,13972,60,40.0,0.0,0.0,0.0,0.0,19.0,59.9,0.0,19.0,0.0,False
147,10769,2.2,0.6365461847389559,2872.0,42,25,3206,92,0.0,0.0,0.0,0.0,0.0,77.0,80.2,0.0,22.0,0.0,True
148,53409,7.7,0.7857142857142857,1311.0,7,50,3404,96,0.0,0.0,0.0,0.0,0.0,76.0,119.6,0.0,0.0,3.5,False
149,19971,2.9,0.2702702702702703,4127.0,50,19,6488,100,0.0,0.0,0.0,0.0,0.0,75.0,100.4,0.0,2.0,1.9,False
150,53979,7.7,0.7857142857142857,240.0,35,19,3365,96,0.0,0.0,0.0,0.0,0.0,87.0,40.3,0.0,0.0,0.0,False
151,49923,9.8,0.5476190476190477,0.0,5773,5773,10785,100,0.0,0.0,0.0,0.0,0.0,296.0,116.2,1.0,0.0,0.3,False
152,11234,2.9,0.622895622895623,620.0,77782,77773,25104,95,0.0,0.0,0.0,0.0,0.0,360.0,212.1,1.0,4.0,0.9,False
153,70848,5.6,0.2666666666666666,4836.0,45,15,10410,100,0.0,0.0,0.0,0.0,0.0,160.0,147.8,0.0,0.0,3.0,True
154,3778,1.0,0.1304347826086956,48.0,14,8,13081,80,2.0,0.0,0.0,0.0,0.0,12.0,4.7,0.0,0.0,0.0,False
155,6752,1.3,0.1304347826086956,48.0,14,8,13063,80,2.0,0.0,0.0,0.0,0.0,14.0,6.1,0.0,0.0,0.0,False
156,7194,1.4,0.1304347826086956,48.0,14,8,13045,80,2.0,0.0,0.0,0.0,0.0,14.0,6.0,0.0,0.0,0.0,False
157,15510,2.0,0.1304347826086956,48.0,15,9,12991,80,2.0,0.0,0.0,0.0,0.0,17.0,11.8,0.0,0.0,0.0,True
158,36367,4.1,0.2666666666666666,4837.0,9,37,6092,93,0.0,0.0,0.0,0.0,0.0,145.0,182.0,0.0,0.0,1.2,False
159,24249,3.2,0.4702970297029702,5344.0,60,7,4004,100,0.0,0.0,0.0,0.0,0.0,103.0,27.1,0.0,23.0,0.0,False
160,30886,4.0,0.7165354330708661,3156.0,19,16,3265,97,0.0,0.0,1.0,0.0,0.0,74.0,49.1,0.0,28.0,0.0,True
161,9751,2.3,0.7165354330708661,4272.0,43,40,5566,100,0.0,0.0,1.0,0.0,0.0,77.0,31.5,0.0,18.0,0.0,False
162,42098,4.4,0.2666666666666666,4837.0,19,47,5939,94,0.0,0.0,0.0,0.0,0.0,155.0,272.1,1.0,0.0,1.8,False
163,24952,3.3,0.4702970297029702,6153.0,18,24,13779,91,0.0,0.0,0.0,0.0,0.0,127.0,124.2,4.0,14.0,0.8,False
164,67008,7.6,0.55,2789.0,5,2,3010,90,0.0,0.0,0.0,0.0,0.0,48.0,93.4,0.0,23.0,1.6,False
165,85202,8.6,0.55,3635.0,7,4,4026,100,0.0,0.0,0.0,0.0,0.0,65.0,95.6,0.0,23.0,1.0,True
166,33384,4.3,0.6666666666666666,2152.0,9,7,8853,81,0.0,0.0,0.0,0.0,0.0,101.0,108.9,0.0,22.0,0.0,False
167,83599,6.9,0.0,45.0,5762,4333,10719,85,3.0,0.0,0.0,0.0,0.0,153.0,452.8,0.0,0.0,3.9,False
168,35926,5.6,0.55,10770.0,17,14,7181,100,0.0,0.0,0.0,0.0,0.0,74.0,47.8,0.0,23.0,0.0,False
169,16982,3.0,0.6840390879478827,1827.0,1441,45,3493,44,2.0,0.0,0.0,0.0,0.0,59.0,27.8,0.0,3.0,0.0,True
170,55861,3.9,0.6666666666666666,7336.0,32,32,18745,90,0.0,0.0,0.0,0.0,0.0,47.0,52.2,0.0,1.0,0.0,False
171,15371,2.8,0.7165354330708661,4273.0,45,42,5376,100,0.0,0.0,1.0,0.0,0.0,79.0,40.0,0.0,18.0,0.0,True
172,70045,7.9,0.55,16848.0,24,21,16022,80,0.0,0.0,0.0,0.0,0.0,100.0,52.2,0.0,15.0,0.0,False
173,43974,5.0,0.0,48.0,37,21,5271,100,6.0,0.0,0.0,0.0,0.0,91.0,88.9,0.0,3.0,0.0,True
174,15013,2.6,0.4702970297029702,6229.0,38,44,4672,100,0.0,0.0,0.0,0.0,0.0,124.0,117.3,1.0,5.0,0.8,True
175,29556,4.7,0.622895622895623,620.0,77783,77774,4285,100,0.0,0.0,0.0,0.0,0.0,384.0,223.6,1.0,4.0,0.9,True
176,34980,4.2,0.2816901408450704,71.0,38,20,3064,100,0.0,0.0,0.0,0.0,0.0,190.0,114.8,1.0,1.0,0.8,True
177,8394,2.2,0.7338709677419355,5225.0,2,56,3926,99,0.0,0.0,0.0,0.0,0.0,74.0,197.0,0.0,3.0,0.5,True
178,89627,8.9,0.55,16848.0,28,25,7728,100,0.0,0.0,0.0,0.0,0.0,115.0,59.4,0.0,15.0,0.0,True
179,26768,3.3,0.2631578947368421,1678.0,10,0,3251,77,0.0,0.0,0.0,0.0,0.0,54.0,49.9,0.0,52.0,0.0,False
180,16717,3.0,0.0,548.0,62,45,44509,100,1.0,0.0,0.0,0.0,0.0,99.0,32.9,0.0,0.0,0.0,False
181,14706,3.7,0.55,0.0,1,57,7164,100,0.0,0.0,0.0,0.0,0.0,109.0,126.2,1.0,3.0,1.2,True
182,13542,3.1,0.55,2015.0,56,0,3468,92,2.0,0.0,0.0,0.0,0.0,57.0,89.3,1.0,10.0,1.6,False
183,41376,4.2,0.2631578947368421,11732.0,35,25,20191,100,0.0,0.0,0.0,0.0,0.0,154.0,39.2,0.0,28.0,0.0,True
184,15375,2.0,0.4679802955665024,2539.0,31,28,7572,100,0.0,0.0,0.0,0.0,0.0,92.0,31.5,0.0,9.0,0.0,False
185,77126,6.1,0.6,6066.0,45,3,6510,100,0.0,0.0,0.0,0.0,0.0,187.0,153.3,0.0,2.0,1.2,False
186,13152,2.3,0.5,797.0,8,1,8399,47,0.0,0.0,0.0,0.0,0.0,83.0,37.5,0.0,9.0,0.0,True
187,27872,3.4,0.5,3020.0,16,8,3095,93,0.0,0.0,0.0,0.0,0.0,126.0,74.1,0.0,5.0,0.0,True
