cleaned
mcap,liquidity,buy,sell,scams,worth,contract_age,pair_age,funding_time,source,airdrops,amount,wallet,ape_score,safu_score,buy_tax,sell_tax,owner_type,owner_quant,holds_qty,holds_amt,spoofed_qty,spoofed_pct,snipers_qty,snipers_pct,fresh_qty,fresh_pct,whales_qty,whales_pct,safu_score_qty,printed
16172,3.7,17,12,0.32786885245901600,5983.0,7223,7223,8640,INDIVIDUAL,1.0,373.0,5552,37,75,2,2.4,RENOUNCED,20,104.0,112.4,0.0,0.0,2.0,3.0,1.0,2.0,1.0,1.9,394,TRUE
3723,2.0,0,0,0.5625,827.0,3,0,1440,Binance,0.0,74.0,8492,17,42,0,0,INDIVIDUAL,4,,,,,,,,,,,12,TRUE
12196,2.4,38,2,0.5674157303370790,2943.0,7,3,11,FixedFloat,1.0,93.0,6421,18,100,0,5.6,RENOUNCED,8,38.0,46.7,0.0,0.0,6.0,9.6,0.0,0.0,0.0,0.0,17,FALSE
7826,2.9,50,1,0.5625,827.0,4,1,1440,Binance,0.0,243.0,4384,79,45,0,0,INDIVIDUAL,4,24.0,58.0,0.0,0.0,8.0,0.1,0.0,0.0,0.0,0.0,29,TRUE
6110,1.7,15,0,0.5642458100558660,591.0,12,1,16,Binance,1.0,121.0,5869,37,75,0,4,INDIVIDUAL,4,16.0,18.3,0.0,0.0,4.0,5.7,1.0,1.2,0.0,0.0,395,FALSE
41833,5.9,33,20,0.32786885245901600,5983.0,7223,7223,8640,INDIVIDUAL,1.0,838.0,4712,29,99,2,4.8,RENOUNCED,20,111.0,112.5,0.0,0.0,2.0,3.0,2.0,2.6,1.0,1.9,75,FALSE
21238,4.8,134,29,0.625,3637.0,11,8,1440,Binance,0.0,74.0,8561,10,25,0,99,INDIVIDUAL,9,83.0,110.2,0.0,0.0,8.0,0.1,0.0,0.0,0.0,0.0,12,TRUE
121423,8.9,,24,0.6625,1086.0,413302,413302,413280,INDIVIDUAL,209.0,746.0,20041,19,90,4,9.5,RENOUNCED,1292,223.0,3631.2,7.0,125.5,1.0,13.5,15.0,1.8,2.0,2.6,194,FALSE
4633,1.4,41,0,0.48717948717948700,239.0,18,0,19,Binance,1.0,298.0,3234,26,86,20,19.9,INDIVIDUAL,4,30.0,12.0,0.0,0.0,24.0,11.2,0.0,0.0,0.0,0.0,43,FALSE
6866,1.7,59,0,0.48717948717948700,239.0,18,0,19,Binance,1.0,83.0,3128,33,56,0,2.3,INDIVIDUAL,4,42.0,32.8,0.0,0.0,24.0,11.2,0.0,0.0,0.0,0.0,91,FALSE
