mcap,liquidity,buy,sell,tax,scams,owner,worth,contract_age,pair_age,funding_time,source,holds,spoofed,snipers,fresh,whales,airdrops,amount,wallet,ape_score,safu_score,result
357101,12.7,,(280) 166 - $117.3k,0/0,95 out of 195,RENOUNCED (10),"$9,109.00",44 mins,26 mins,45 mins ago,Binance,331 (413.9 ETH),1 own 0.4%,7 own 2.7%,6 own 1.5%,4 own 4.8%,1.0,$373.00,"halfshibainu.eth ($6,302)",🟢🟢 41%,93% out of 15,118.6172
8043,2.0,(8) 8 - $394.7,(0) 0 - $0,25/56.5,0 out of 0 Unique,0xec3...e8  (4),"$7,856.00",17 mins,0 mins,3 hrs ago,Mexc,10 (15.8 ETH),0 own 0%,8 own 11.7%,0 own 0%,0 own 0%,,$161.00,"0x04E...52 ($3,145)",🟢 17%,98% out of 45,247.3725
23493,5.0,(43) 43 - $123.5k,(1) 1 - $117.8k,0/0,1.2k out of 1.4k,UNKNOWN (3),$946.00,4 mins,3 mins,6 mins ago,Binance,39 (18.6 ETH),0 own 0%,16 own 39.3%,24 own 46.9%,0 own 0%,,$373.00,"0x5e2...24 ($7,053)",🟢 36%,100% out of 4,149.9048
8043,2.0,(29) 29 - $1.8k,(0) 0 - $0,25/56.9,0 out of 0 Unique,0xec3...e8  (4),"$7,856.00",17 mins,0 mins,3 hrs ago,Mexc,27 (38.3 ETH),0 own 0%,8 own 11.7%,1 own 1.4%,0 own 0%,,$169.00,"0xbEf...31 ($15,406)",🟢 29%,76% out of 49,-59.2182
13656,2.6,(64) 60 - $7k,(4) 2 - $4.4k,25/36.8,0 out of 0 Unique,0xec3...e8  (4),"$12,261.00",19 mins,1 mins,4 hrs ago,Mexc,56 (64.7 ETH),0 own 0%,7 own 10.2%,0 own 0%,0 own 0%,,$388.00,"0xE00...a3 ($7,874)",🟢🟢 42%,100% out of 24,117.737
56524,5.2,(868) 655 - $423.4k,(521) 296 - $413.8k,0/0,95 out of 195,RENOUNCED (10),"$9,110.00",55 mins,37 mins,56 mins ago,Binance,408 (349.6 ETH),1 own 0.4%,1 own 0.5%,4 own 1.2%,3 own 4.1%,1.0,$298.00,"halfshibainu.eth ($5,917)",🟢 39%,93% out of 15,-35.7333
31849,3.7,(103) 97 - $15k,(34) 14 - $9.8k,0/5.2,106 out of 184,0x4F2...05  (6),"$5,613.00",7 mins,3 mins,19 hrs ago,Mexc,86 (33.7 ETH),0 own 0%,23 own 33.8%,1 own 0.7%,0 own 0%,2.0,$373.00,"0x5d2...C7 ($7,649)",🟢🟢 51%,100% out of 7,-34.8589
31366,4.8,(58) 57 - $6.4k,(4) 2 - $873.9,0/4.1,1.1k out of 2k,0x945...4b  (4),"$1,164.00",7 mins,1 mins,13 mins ago,FixedFloat,53 (82.8 ETH),0 own 0%,13 own 13.6%,0 own 0%,0 own 0%,1.0,$568.00,"0xc53...d2 ($4,066)",🟢🟢🟢🟢 91%,42% out of 31,-32.8505
143562,8.4,,(605) 344 - $457.1k,0/0,95 out of 195,RENOUNCED (10),"$9,102.00",58 mins,40 mins,59 mins ago,Binance,382 (348.8 ETH),1 own 0.4%,0 own 0%,4 own 1.2%,3 own 5%,1.0,$186.00,"0x2cB...B1 ($3,469)",🟢 7%,92% out of 13,107.0254
27020,5.5,(169) 146 - $184k,(92) 72 - $177.5k,0/0,1.2k out of 1.4k,UNKNOWN (4),$937.00,15 mins,14 mins,17 mins ago,Binance,78 (228.4 ETH),1 own 0.8%,7 own 16.8%,8 own 10.4%,2 own 2.5%,,$185.00,"0x302...41 ($25,940)",🟢 12%,92% out of 25,-49.5062
23529,4.2,(241) 226 - $46.9k,(166) 94 - $41.9k,0/0,1.1k out of 2k,RENOUNCED (9),"$10,235.00",19 mins,13 mins,26 mins ago,FixedFloat,141 (105.4 ETH),0 own 0%,12 own 11.8%,1 own 0.1%,0 own 0%,1.0,$185.00,"0x5d2...C7 ($7,619)",🟢🟢 51%,100% out of 7,-33.0048
439307,22.8,,(692) 289 - $672.9k,0/0,184 out of 336,RENOUNCED (36),$334.00,15 hrs 38 mins,15 hrs 37 mins,15 hrs ago,Kucoin,297 (161.7 ETH),1 own 0.2%,0 own 0%,16 own 18.4%,2 own 2.5%,1015.0,"$1,888.00","0xF4e...B2 ($192,885)",🟢 15%,100% out of 10,-31.2848
53403,12.8,(105) 86 - $43.8k,(69) 61 - $37.2k,0/0,13 out of 20,RENOUNCED (113),$13.00,373 days 20 hrs,373 days 20 hrs,373 days ago,Binance,185 (624.6 ETH),0 own 0%,0 own 0%,6 own 3.2%,4 own 3.1%,1.0,$222.00,"0x0bA...70 ($7,477)",🟢 12%,100% out of 25,-30.1695
7513,2.9,(193) 160 - $186.5k,(138) 114 - $184.8k,0/0,1.2k out of 1.4k,UNKNOWN (4),$937.00,25 mins,24 mins,28 mins ago,Binance,50 (190.8 ETH),1 own 0.8%,1 own 2%,2 own 2.8%,2 own 2.5%,,$371.00,"ucanfollowme.eth ($16,266)",🟢 18%,90% out of 192,100.7111
3774,1.3,(7) 7 - $384.2,(0) 0 - $0,20/24.6,1 out of 2,0xff3...C0  (4),$617.00,5 mins,0 mins,21 hrs ago,Mexc,8 (5.1 ETH),0 own 0%,7 own 10.9%,0 own 0%,0 own 0%,1.0,$75.00,"0xc36...c5 ($3,119)",🟢 11%,67% out of 3,109.6925
38630,9.7,(18) 18 - $14.6k,(1) 1 - $5.9k,0/0,31 out of 39,UNKNOWN (3),$168.00,13 mins,0 mins,27 mins ago,0x077...A4,18 (13.9 ETH),1 own 0.1%,9 own 30%,1 own 0.1%,1 own 0%,,$185.00,"0xd2f...E7 ($7,064)",🟢 37%,75% out of 395,100.7769
27981,3.5,(146) 138 - $26.8k,(72) 39 - $22.4k,0/0,20 out of 68,RENOUNCED (10),"$5,851.00",30 mins,11 mins,31 mins ago,Mexc,104 (46.3 ETH),0 own 0%,11 own 9.8%,1 own 1.2%,0 own 0%,1.0,$185.00,"0x46e...DE ($4,033)",🟢 13%,94% out of 32,-31.6833
17017,3.6,(283) 257 - $55.8k,(228) 149 - $52.6k,0/0,1.1k out of 2k,RENOUNCED (9),"$10,234.00",28 mins,22 mins,35 mins ago,FixedFloat,114 (77.5 ETH),0 own 0%,11 own 11.4%,1 own 0.1%,0 own 0%,1.0,$371.00,"0x745...A2 ($5,664)",🟢 12%,100% out of 3,103.5473
6045,1.7,(28) 26 - $3.4k,(20) 11 - $2k,1/1.4,1 out of 1,UNKNOWN (6),$486.00,28 mins,15 mins,35 mins ago,0xBf9...0B,17 (19.2 ETH),0 own 0%,0 own 0%,5 own 14.6%,0 own 0%,,$185.00,"0xDF5...12 ($16,779)",🟢 21%,93% out of 54,119.5986
4404,1.4,(33) 33 - $486.2,(0) 0 - $0,0/1.6,0 out of 0 Unique,0x0C8...92  (5),$753.00,7 mins,0 mins,19 hrs ago,Binance,36 (19.0 ETH),0 own 0%,33 own 15.7%,2 own 1.9%,0 own 0%,2.0,$185.00,"0xd2f...E7 ($7,593)",🟢 37%,75% out of 395,-38.261
7615,1.8,(72) 62 - $1.5k,(0) 0 - $0,0/1.2,0 out of 0 Unique,0x0C8...92  (5),$753.00,7 mins,0 mins,19 hrs ago,Binance,36 (18.8 ETH),0 own 0%,33 own 19.7%,1 own 1.5%,0 own 0%,2.0,$46.00,"0xd2f...E7 ($7,564)",🟢 37%,75% out of 395,-45.0439
28831,3.6,(291) 241 - $58.4k,(179) 107 - $53.7k,0/0,20 out of 68,RENOUNCED (10),"$5,851.00",45 mins,26 mins,46 mins ago,Mexc,148 (122.1 ETH),1 own 0.7%,4 own 3.1%,1 own 0.7%,1 own 0.7%,1.0,$557.00,"0x088...1F ($3,428)",🟢 29%,99% out of 77,-48.338
30276,3.7,(316) 253 - $70.1k,(214) 127 - $65.4k,0/0,20 out of 68,RENOUNCED (10),"$5,851.00",48 mins,30 mins,50 mins ago,Mexc,137 (113.7 ETH),1 own 0.7%,3 own 1.6%,1 own 0.7%,1 own 0.7%,1.0,$557.00,"0xF7F...d1 ($5,898)",🟢 38%,90% out of 31,-33.1497
4111,1.5,(16) 16 - $872.6,(0) 0 - $0,20/38.6,106 out of 200,0x86F...F8  (4),$96.00,18 mins,0 mins,37 mins ago,FixedFloat,18 (12.1 ETH),0 own 0%,16 own 24.7%,0 own 0%,0 own 0%,,$169.00,"0x0b6...E3 ($3,614)",🟢 33%,49% out of 214,114.8767
551340,52.7,,(1587) 802 - $1.8M,0/0,282 out of 393,RENOUNCED (6),$83.00,1 days 7 hrs,9 hrs 50 mins,1 days ago,0x6d7...Cb,481 (240.4 ETH),1 own 0.6%,1 own 0.1%,13 own 2.8%,2 own 1.2%,1.0,"$1,509.00","0x57a...19 ($3,139)",🟢 10%,100% out of 17,-30.7631
22444,3.1,(102) 88 - $2.9k,(0) 0 - $0,0/3.5,0 out of 0 Unique,0x0C8...92  (5),$753.00,8 mins,1 mins,19 hrs ago,Binance,91 (71.6 ETH),0 own 0%,33 own 20.2%,1 own 1.5%,1 own 0.5%,2.0,$74.00,"0xd2f...E7 ($7,450)",🟢 37%,75% out of 395,108.1166
9653,3.3,(203) 164 - $189.3k,(146) 118 - $186.9k,0/0,1.2k out of 1.4k,UNKNOWN (5),$0.00,30 mins,28 mins,32 mins ago,Binance,49 (186.7 ETH),1 own 0.8%,1 own 2%,2 own 2.8%,2 own 2.5%,,$185.00,"0x8eb...77 ($6,562)",🟢 10%,100% out of 5,110.928
107395,10.3,,(214) 126 - $100.4k,0/9.9,0 out of 0 Unique,0x25F...c8  (10),"$4,391.00",4 hrs 2 mins,3 hrs 46 mins,29 days ago,Binance,142 (70.3 ETH),1 own 0.6%,9 own 11%,6 own 7.5%,0 own 0%,3.0,$377.00,"insidddoooooor.eth ($4,010)",🟢 20%,100% out of 11,109.1184
7933,1.9,(18) 18 - $1.5k,(0) 0 - $0,0/4.3,20 out of 69,0x5e7...1F  (6),$701.00,25 mins,4 mins,28 mins ago,Binance,19 (6.4 ETH),0 own 0%,7 own 9.7%,0 own 0%,0 own 0%,1.0,$55.00,"0x3Ee...72 ($3,149)",🟢 18%,100% out of 3,-33.7943
31746,4.2,(149) 131 - $16.1k,(28) 19 - $10k,0/0,91 out of 124,RENOUNCED (9),"$6,776.00",22 mins,17 mins,51 mins ago,Binance,114 (131.2 ETH),0 own 0%,16 own 10.7%,5 own 3.3%,0 own 0%,,$371.00,"0x486...36 ($3,300)",🟢 31%,97% out of 127,-30.4276
17410,4.4,(240) 192 - $195k,(160) 127 - $190.4k,0/0,1.2k out of 1.4k,UNKNOWN (5),$0.00,1 hrs 3 mins,1 hrs 2 mins,1 hrs ago,Binance,69 (193.4 ETH),1 own 0.8%,1 own 2%,3 own 2.1%,2 own 2.5%,,$703.00,"0x217...1e ($6,916)",🟢 21%,96% out of 25,-32.8111
45708,4.5,(339) 266 - $81.5k,(229) 134 - $74.9k,0/0,20 out of 68,RENOUNCED (10),"$5,852.00",50 mins,32 mins,52 mins ago,Mexc,143 (114.8 ETH),1 own 0.7%,3 own 1.6%,1 own 0.7%,1 own 0.7%,1.0,$278.00,"0x342...a3 ($3,281)",🟢 6%,100% out of 4,-40.1617
10035,2.5,(39) 35 - $9.4k,(32) 30 - $8.2k,0/0,39 out of 79,RENOUNCED (37),$75.00,69 days 15 hrs,69 days 15 hrs,69 days ago,Binance,152 (31.0 ETH),0 own 0%,15 own 14.5%,3 own 0.7%,0 own 0%,,$557.00,"0xF4D...88 ($10,862)",🟢 24%,100% out of 39,-30.7666
32318,3.6,(99) 99 - $9.9k,(24) 12 - $5.5k,0/5.3,20 out of 70,0x469...d7  (23),"$3,314.00",29 mins,8 mins,46 days ago,Binance,90 (38.6 ETH),0 own 0%,48 own 35.5%,9 own 5%,0 own 0%,1.0,$185.00,"0x94d...E4 ($3,748)",🟢 21%,84% out of 87,-34.5068
57967,5.6,(192) 167 - $26.9k,(48) 35 - $18.2k,0/0,91 out of 124,RENOUNCED (9),"$6,776.00",27 mins,22 mins,56 mins ago,Binance,144 (138.3 ETH),0 own 0%,16 own 10.7%,5 own 3%,0 own 0%,,$278.00,"0xA27...50 ($6,435)",🟢 21%,91% out of 75,112.0338
28262,4.0,(219) 185 - $34.1k,(75) 53 - $28k,0/0,91 out of 124,RENOUNCED (9),"$6,775.00",33 mins,28 mins,1 hrs ago,Binance,143 (135.2 ETH),0 own 0%,16 own 10.6%,4 own 2.8%,0 own 0%,,$557.00,"0x088...1F ($3,709)",🟢 29%,99% out of 79,102.121
26396,3.6,(113) 75 - $18.9k,(69) 44 - $13.5k,0/0,42 out of 46,UNKNOWN (12),$0.00,11 hrs 31 mins,9 hrs 44 mins,11 hrs ago,Binance,40 (15.4 ETH),0 own 0%,1 own 1.1%,3 own 11%,1 own 0%,2.0,$364.00,"0x9B2...25 ($13,696)",🟢 23%,72% out of 87,-39.7065
11248,2.5,(39) 31 - $2.4k,(0) 0 - $0,25/31.8,18 out of 37,0x5D9...75  (4),$376.00,12 mins,3 mins,45 mins ago,Binance,31 (11.2 ETH),0 own 0%,7 own 10.8%,1 own 1.1%,0 own 0%,,$46.00,"0xfF3...Bb ($3,502)",🟢 23%,70% out of 202,-34.3859
17547,3.1,(49) 39 - $4.1k,(1) 1 - $215.1,25/33.4,18 out of 37,0x5D9...75  (4),$376.00,14 mins,5 mins,47 mins ago,Binance,40 (14.0 ETH),0 own 0%,7 own 10.8%,1 own 1.1%,0 own 0%,,$46.00,"0xfF3...Bb ($3,496)",🟢 23%,70% out of 202,-32.984
10228,2.4,(245) 193 - $39.6k,(146) 107 - $37.3k,0/0,91 out of 124,RENOUNCED (15),"$5,817.00",44 mins,39 mins,1 hrs ago,Binance,90 (191.3 ETH),0 own 0%,5 own 3.4%,0 own 0%,1 own 0.5%,1.0,$371.00,"ucanfollowme.eth ($18,895)",🟢 18%,90% out of 187,-33.962
356593,18.9,,(143) 102 - $78.2k,0/0,5 out of 6,RENOUNCED (8),$75.00,6 days 5 hrs,6 days 4 hrs,6 days ago,Binance,467 (57.9 ETH),1 own 0.4%,18 own 12.5%,15 own 1.3%,1 own 0.6%,1.0,$471.00,"0x8B4...b2 ($5,073)",🟢 11%,100% out of 3,-31.5173
6819,2.9,(9) 9 - $793.8,(0) 0 - $0,15/29.2,0 out of 0 Unique,0xdCb...Bf  (4),"$2,599.00",4 mins,0 mins,5 hrs ago,Mexc,1 (1.4 ETH),0 own 0%,9 own 11.5%,0 own 0%,0 own 0%,,$92.00,"0xd3C...70 ($4,863)",🟢 1%,33% out of 12,104.4322
8709,2.1,(54) 33 - $2.2k,(6) 3 - $256.5,0.7/1.9,0 out of 0 Unique,0xc94...39  (14),$471.00,33 mins,22 mins,52 mins ago,Binance,37 (21.9 ETH),8 own 8.8%,6 own 5.9%,5 own 6.8%,0 own 0%,2.0,$92.00,"0xc2B...D1 ($3,195)",🟢 21%,47% out of 43,113.8542
13391,2.4,(67) 66 - $6.4k,(26) 13 - $3.9k,0/8,20 out of 71,RENOUNCED (9),"$2,824.00",18 mins,4 mins,26 mins ago,Mexc,53 (25.7 ETH),0 own 0%,22 own 23.9%,0 own 0%,0 own 0%,1.0,$371.00,"0x486...36 ($3,441)",🟢 31%,97% out of 128,-38.9076
18598,4.8,(46) 23 - $5k,(3) 2 - $657.3,10/32.7,0 out of 0 Unique,0xdCb...Bf  (6),"$3,092.00",9 mins,4 mins,5 hrs ago,Mexc,23 (64.5 ETH),0 own 0%,9 own 29.7%,0 own 0%,1 own 0.8%,,$557.00,"0xddb...75 ($8,164)",🟢 1%,33% out of 12,172.5353
73852,5.8,(460) 333 - $110.9k,(313) 178 - $102k,0/0,20 out of 70,RENOUNCED (10),"$5,857.00",1 hrs 21 mins,1 hrs 2 mins,1 hrs ago,Mexc,173 (114.1 ETH),1 own 0.7%,2 own 0.4%,2 own 0.8%,1 own 0.7%,1.0,$662.00,"0xba9...e4 ($7,325)",🟢 22%,100% out of 16,-39.1403
10211,2.3,(65) 49 - $6k,(13) 5 - $3.4k,25/24.4,18 out of 37,0x5D9...75  (8),"$3,375.00",30 mins,21 mins,1 hrs ago,Binance,51 (22.5 ETH),0 own 0%,7 own 10.8%,1 own 1.1%,0 own 0%,,$37.00,"0x057...Ed ($4,202)",🟢 17%,100% out of 5,-32.4388
121340,7.5,,(404) 212 - $160.6k,0/0,20 out of 71,RENOUNCED (11),"$6,390.00",1 hrs 53 mins,1 hrs 34 mins,1 hrs ago,Mexc,208 (130.9 ETH),1 own 0.7%,3 own 0.6%,3 own 0.8%,1 own 0.7%,1.0,$557.00,"0xF7F...d1 ($4,604)",🟢 38%,91% out of 33,-30.0967
28133,3.4,(219) 176 - $29.1k,(122) 58 - $24.5k,0/0,20 out of 71,RENOUNCED (26),"$9,322.00",56 mins,35 mins,46 days ago,Binance,130 (51.1 ETH),0 own 0%,32 own 27.4%,7 own 3.4%,0 own 0%,1.0,$371.00,"0x77a...54 ($6,342)",🟢 13%,97% out of 72,100.6896
138850,8.1,,(423) 220 - $176k,0/0,20 out of 71,RENOUNCED (11),"$6,394.00",1 hrs 56 mins,1 hrs 37 mins,1 hrs ago,Mexc,217 (144.0 ETH),1 own 0.7%,3 own 0.6%,3 own 0.8%,1 own 0.7%,1.0,$278.00,"tinoz.eth ($3,719)",🟢 9%,100% out of 12,-33.7514
29051,3.9,(1234) 801 - $547.9k,(940) 553 - $542.5k,0/0,96 out of 198,RENOUNCED (11),$0.00,2 hrs 29 mins,2 hrs 11 mins,2 hrs ago,Binance,263 (267.7 ETH),1 own 0.4%,0 own 0%,3 own 0.4%,2 own 2.8%,1.0,$111.00,"0xf18...12 ($5,731)",🟢 18%,93% out of 29,111.5789
13772,2.7,(1259) 808 - $552.9k,(965) 568 - $549.8k,0/0,96 out of 198,RENOUNCED (11),$0.00,3 hrs 0 mins,2 hrs 42 mins,3 hrs ago,Binance,257 (353.7 ETH),1 own 0.4%,0 own 0%,3 own 0.4%,3 own 3.2%,1.0,$464.00,"0xa09...79 ($4,637)",🟢 27%,78% out of 18,-32.9829
69833,5.4,(271) 217 - $39.3k,(155) 81 - $32k,0/0,20 out of 71,RENOUNCED (28),"$8,862.00",1 hrs 10 mins,49 mins,46 days ago,Binance,154 (89.3 ETH),0 own 0%,24 own 18.4%,7 own 2.9%,0 own 0%,1.0,$92.00,"0xb7D...13 ($20,881)",🟢 17%,94% out of 16,-31.4284
143720,11.3,,(101) 60 - $59.4k,1/2,0 out of 0 Unique,0xECF...02  (9),$743.00,3 hrs 57 mins,3 hrs 57 mins,5 hrs ago,Kraken,106 (103.4 ETH),0 own 0%,19 own 22.2%,18 own 22.1%,0 own 0%,2.0,$468.00,"0x5C6...ed ($5,685)",🟢 11%,100% out of 46,-30.2749
85810,6.1,(367) 283 - $91.8k,(230) 129 - $82.4k,0/0,20 out of 71,RENOUNCED (28),"$8,864.00",1 hrs 28 mins,1 hrs 6 mins,46 days ago,Binance,179 (73.6 ETH),0 own 0%,14 own 12.7%,4 own 1.1%,0 own 0%,1.0,$372.00,"0x7E5...df ($5,831)",🟢 23%,90% out of 21,-31.1065
17725,2.2,(126) 118 - $10.7k,(49) 36 - $7.5k,1/1,1 out of 3,RENOUNCED (9),$154.00,50 mins,18 mins,1 hrs ago,Coinbase,96 (56.9 ETH),0 own 0%,6 own 11.6%,4 own 3.8%,0 own 0%,,$372.00,"0xF84...3C ($4,079)",🟢 30%,100% out of 8,114.2068
213212,10.0,,(453) 232 - $190.6k,0/0,20 out of 71,RENOUNCED (11),"$6,395.00",2 hrs 4 mins,1 hrs 45 mins,2 hrs ago,Mexc,249 (143.1 ETH),1 own 0.7%,4 own 0.7%,4 own 0.9%,1 own 0.7%,1.0,"$1,204.00","0xba9...e4 ($7,399)",🟢 22%,100% out of 17,109.5703
20194,3.0,(394) 297 - $51.1k,(266) 191 - $47.5k,0/0,0 out of 1,RENOUNCED (14),"$3,683.00",2 hrs 0 mins,1 hrs 53 mins,20 hrs ago,Binance,112 (40.8 ETH),0 own 0%,4 own 4.2%,3 own 2%,0 own 0%,3.0,$186.00,"0x85E...65 ($3,622)",🟢 29%,100% out of 58,-32.165
15602,2.8,(88) 61 - $8.4k,(41) 18 - $5.1k,0.7/2.2,0 out of 0 Unique,RENOUNCED (16),$469.00,1 hrs 35 mins,1 hrs 24 mins,1 hrs ago,Binance,51 (22.1 ETH),8 own 8.8%,6 own 7.7%,8 own 11.7%,0 own 0%,2.0,$279.00,"0xc2B...D1 ($3,222)",🟢 21%,48% out of 44,108.8989
31812,3.8,(407) 302 - $53.2k,(269) 193 - $48.2k,0/0,0 out of 1,RENOUNCED (14),"$3,683.00",2 hrs 2 mins,1 hrs 55 mins,20 hrs ago,Binance,119 (42.1 ETH),0 own 0%,4 own 4.2%,2 own 1.7%,0 own 0%,3.0,$186.00,"0x0bA...70 ($7,701)",🟢 15%,100% out of 31,-30.0284
72608,5.9,(850) 509 - $290.1k,(625) 307 - $279.4k,0/0,20 out of 71,RENOUNCED (11),"$6,397.00",2 hrs 33 mins,2 hrs 15 mins,2 hrs ago,Mexc,253 (138.7 ETH),1 own 0.7%,2 own 0.1%,4 own 0.8%,1 own 0.7%,1.0,$93.00,"0xf18...12 ($5,505)",🟢 18%,94% out of 31,119.5042
2386,0.7,(106) 74 - $7.9k,(85) 41 - $7.5k,0/0,96 out of 199,RENOUNCED (11),"$2,248.00",1 hrs 27 mins,1 hrs 23 mins,3 days ago,FixedFloat,36 (3.7 ETH),0 own 0%,0 own 0%,0 own 0%,0 own 0%,2.0,$186.00,"0x821...27 ($20,601)",🟢🟢 57%,100% out of 10,-37.268
750077,59.7,,(103) 75 - $76.1k,0/0,302 out of 408,RENOUNCED (42),"$23,730.00",20 days 7 hrs,17 days 8 hrs,20 days ago,0x3A7...5b,363 (149.2 ETH),2 own 0.3%,0 own 0%,23 own 5.7%,2 own 1.3%,1.0,$981.00,"0xD51...B2 ($3,281)",🟢 2%,100% out of 8,104.5165
602389,36.5,,(462) 273 - $358.6k,0/0,0 out of 0 Unique,RENOUNCED (24),"$1,190.00",6 days 15 hrs,5 days 5 hrs,7 days ago,0xF38...0D,591 (448.9 ETH),1 own 0.3%,0 own 0%,10 own 2.2%,8 own 4.9%,,"$1,401.00","0xFf4...59 ($4,205)",🟢 13%,89% out of 9,-39.0927
4951,1.4,(11) 11 - $659.7,(0) 0 - $0,0/5.2,0 out of 0 Unique,0x1B4...42  (4),$346.00,13 mins,1 mins,4 hrs ago,Binance,12 (1.7 ETH),0 own 0%,5 own 7%,1 own 1.6%,0 own 0%,1.0,$111.00,"0x030...9E ($11,589)",🟢🟢 41%,59% out of 80,101.7004
9378,2.0,(24) 24 - $1.9k,(0) 0 - $0,0/22.5,96 out of 200,0xfd7...22  (5),$916.00,31 mins,0 mins,46 mins ago,Kucoin,25 (11.5 ETH),0 own 0%,24 own 34.2%,1 own 0.7%,0 own 0%,1.0,$93.00,"0xC1D...28 ($4,303)",🟢 24%,96% out of 79,-33.9864
14422,4.4,(6) 6 - $1.6k,(2) 1 - $71,4/6.6,1.1k out of 1.4k,RENOUNCED (14),"$1,292.00",282 days 1 hrs,282 days 1 hrs,282 days ago,Binance,170 (248.4 ETH),1 own 0%,0 own 0%,4 own 4.7%,3 own 1.1%,1.0,$559.00,"0xDF5...12 ($16,635)",🟢 20%,92% out of 52,-32.0892
14325,2.7,(1295) 821 - $558.7k,(1000) 584 - $555.5k,0/0,96 out of 198,RENOUNCED (11),$0.00,3 hrs 51 mins,3 hrs 33 mins,3 hrs ago,Binance,251 (356.1 ETH),1 own 0.4%,0 own 0%,4 own 0.7%,3 own 3.2%,1.0,$93.00,"0xf18...12 ($4,610)",🟢 17%,94% out of 32,-33.1821
41915,4.7,(145) 108 - $26.3k,(50) 36 - $19.3k,1/1,18 out of 37,RENOUNCED (15),"$1,180.00",1 hrs 46 mins,1 hrs 37 mins,2 hrs ago,Binance,89 (17.0 ETH),0 own 0%,5 own 8.9%,2 own 1.1%,0 own 0%,,$55.00,"ivanphl.eth ($8,750)",🟢 7%,100% out of 4,100.9838
73659,5.6,(436) 334 - $112.7k,(285) 167 - $104k,0/0,20 out of 71,RENOUNCED (28),"$8,865.00",1 hrs 42 mins,1 hrs 20 mins,46 days ago,Binance,202 (74.4 ETH),0 own 0%,9 own 7.1%,4 own 1.1%,0 own 0%,1.0,$818.00,"0xadB...71 ($8,298)",🟢 28%,100% out of 24,-34.0617
315417,45.4,,(1571) 702 - $815.7k,5/5,0 out of 0 Unique,UNKNOWN (20),$0.00,1 days 5 hrs,1 days 1 hrs,8 days ago,Bitget,414 (890.2 ETH),0 own 0%,0 own 0%,11 own 10.6%,12 own 9.4%,,"$1,956.00","raracapital.eth ($67,896)",🟢 34%,94% out of 31,-30.3974
14597,2.7,(65) 58 - $10.8k,(24) 14 - $7.5k,0/0,50 out of 72,RENOUNCED (11),"$2,336.00",4 hrs 44 mins,4 hrs 36 mins,4 hrs ago,Binance,49 (22.7 ETH),0 own 0%,1 own 1.6%,1 own 0.8%,1 own 0%,,$371.00,"0xb9C...E2 ($3,093)",🟢 33%,57% out of 93,-32.1537
40576,4.2,(53) 51 - $5k,(0) 0 - $0,0/4.6,96 out of 201,0xc85...BB  (4),$668.00,56 mins,0 mins,58 mins ago,Mexc,54 (36.5 ETH),2 own 0.7%,53 own 51.9%,1 own 2%,0 own 0%,1.0,$18.00,"0xF84...4e ($3,340)",🟢 23%,70% out of 10,104.4044
5037,1.7,(0) 0 - $0,(17) 17 - $0,5.9/5.2,0 out of 0 Unique,0x751...C4  (7),$659.00,24 mins,8 mins,20 hrs ago,Mexc,18 (1.3 ETH),0 own 0%,3 own 4.9%,0 own 0%,0 own 0%,,$74.00,"0xc2B...D1 ($3,129)",🟢 20%,47% out of 45,102.1032
2021,1.0,(2) 2 - $39.8,(0) 0 - $0,20/34.8,0 out of 3,0x8F1...f1  (5),$721.00,18 mins,2 mins,20 mins ago,0xBC2...4C,4 (0.6 ETH),0 own 0%,1 own 0.3%,0 own 0%,0 own 0%,,$20.00,"0xb73...EC ($13,235)",🟢 29%,80% out of 240,108.2873
17031,2.8,(262) 211 - $90.7k,(181) 113 - $87.4k,0/0,96 out of 201,RENOUNCED (15),"$7,705.00",1 hrs 34 mins,38 mins,1 hrs ago,Mexc,106 (30.2 ETH),0 own 0%,17 own 18.5%,2 own 1.4%,0 own 0%,3.0,$370.00,"0xaaF...49 ($3,170)",🟢 13%,92% out of 36,-30.3863
24011,3.3,(589) 383 - $89.7k,(417) 269 - $85.4k,0/0,1 out of 2,RENOUNCED (17),"$3,654.00",4 hrs 21 mins,4 hrs 14 mins,23 hrs ago,Binance,125 (33.8 ETH),0 own 0%,0 own 0%,2 own 0.1%,0 own 0%,3.0,$370.00,"0x85E...65 ($3,665)",🟢 29%,100% out of 58,-31.3284
5037,1.7,(0) 0 - $0,(17) 17 - $0,5.9/5.2,0 out of 0 Unique,0x751...C4  (7),$659.00,24 mins,8 mins,20 hrs ago,Mexc,18 (1.3 ETH),0 own 0%,3 own 4.9%,0 own 0%,0 own 0%,,$74.00,"0xc2B...D1 ($3,129)",🟢 20%,47% out of 45,105.1373
37987,4.6,(0) 0 - $0,(118) 72 - $5.1k,6/6.9,0 out of 0 Unique,RENOUNCED (11),$652.00,1 hrs 1 mins,45 mins,21 hrs ago,Mexc,66 (39.0 ETH),0 own 0%,3 own 3.9%,1 own 2.4%,0 own 0%,,$184.00,"0x879...66 ($3,502)",🟢 14%,75% out of 4,-38.1642
9077,1.6,(14) 13 - $1.9k,(3) 3 - $839,0/0,4 out of 14,UNKNOWN (6),$223.00,33 mins,29 mins,38 mins ago,Binance,10 (8.0 ETH),0 own 0%,1 own 0.3%,0 own 0%,0 own 0%,1.0,$184.00,"0x7E5...df ($3,731)",🟢 20%,91% out of 22,-40.4676
